id,name,code
__export__.rw_b_location_location_1,北京市,
__export__.rw_b_location_location_2,天津市,
__export__.rw_b_location_location_3,河北省,
__export__.rw_b_location_location_4,山西省,
__export__.rw_b_location_location_5,内蒙古自治区,
__export__.rw_b_location_location_6,辽宁省,
__export__.rw_b_location_location_7,吉林省,
__export__.rw_b_location_location_8,黑龙江省,
__export__.rw_b_location_location_9,上海市,
__export__.rw_b_location_location_10,江苏省,
__export__.rw_b_location_location_11,浙江省,
__export__.rw_b_location_location_12,安徽省,
__export__.rw_b_location_location_13,福建省,
__export__.rw_b_location_location_14,江西省,
__export__.rw_b_location_location_15,山东省,
__export__.rw_b_location_location_16,河南省,
__export__.rw_b_location_location_17,湖北省,
__export__.rw_b_location_location_18,湖南省,
__export__.rw_b_location_location_19,广东省,
__export__.rw_b_location_location_20,广西壮族自治区,
__export__.rw_b_location_location_21,海南省　　,
__export__.rw_b_location_location_22,重庆市,
__export__.rw_b_location_location_23,四川省,
__export__.rw_b_location_location_24,贵州省,
__export__.rw_b_location_location_25,云南省,
__export__.rw_b_location_location_26,西藏自治区,
__export__.rw_b_location_location_27,陕西省,
__export__.rw_b_location_location_28,甘肃省,
__export__.rw_b_location_location_29,青海省,
__export__.rw_b_location_location_30,宁夏回族自治区,
__export__.rw_b_location_location_31,新疆维吾尔自治区,
__export__.rw_b_location_location_32,香港特别行政区,
__export__.rw_b_location_location_33,澳门特别行政区,
__export__.rw_b_location_location_34,台湾省,
